Año,2016,2016,2015,2015,2014,2014,2013,2013,2012,2012,2011,2011,2010,2010,2009,2009
DISTRITO_ACCIDENTE,Nº Accidentes,Nº Accidentes con víctimas,Nº Accidentes,Nº Accidentes con víctimas,Nº Accidentes,Nº Accidentes con víctimas,Nº Accidentes,Nº Accidentes con víctimas,Nº Accidentes,Nº Accidentes con víctimas,Nº Accidentes,Nº Accidentes con víctimas,Nº Accidentes,Nº Accidentes con víctimas,Nº Accidentes,Nº Accidentes con víctimas
ARGANZUELA                    ,610,509,600,503,616,491,631,460,631,457,654,453,690,477,722,454
BARAJAS                       ,213,164,185,146,146,121,150,121,159,123,171,131,135,112,188,120
CARABANCHEL                   ,725,574,725,577,714,584,709,542,718,561,726,553,696,522,807,575
CENTRO                        ,932,713,929,742,939,693,926,625,917,667,1007,657,1007,668,981,646
CHAMARTIN                     ,904,756,904,775,838,670,844,648,841,653,888,687,858,682,908,705
CHAMBERI                      ,647,554,657,564,697,590,715,562,711,559,712,556,676,529,702,536
CIUDAD LINEAL                 ,787,651,761,613,757,588,750,610,711,557,787,597,767,616,777,594
FUENCARRAL-EL PARDO           ,692,584,639,536,644,545,682,552,670,551,643,527,636,500,675,520
HORTALEZA                     ,472,392,440,369,410,343,374,309,367,278,391,308,343,279,458,336
LATINA                        ,622,504,583,474,583,450,530,419,548,445,567,427,552,455,620,436
MONCLOA-ARAVACA               ,709,549,664,538,677,519,702,550,678,555,683,534,739,573,766,540
MORATALAZ                     ,307,252,272,228,291,231,282,240,286,244,269,219,268,216,311,226
PUENTE DE VALLECAS            ,811,643,751,584,706,563,651,510,713,549,752,553,686,501,801,557
RETIRO                        ,647,560,601,519,621,513,593,454,626,468,658,493,572,427,635,470
SALAMANCA                     ,951,797,849,690,981,746,982,708,1033,702,940,683,900,670,965,711
SAN BLAS                      ,501,444,495,426,543,462,518,448,494,419,505,420,468,397,527,417
TETUAN                        ,653,567,636,544,645,543,594,488,577,487,589,488,608,490,655,474
USERA                         ,412,323,387,310,409,316,387,317,378,284,369,286,398,300,411,286
VICALVARO                     ,161,135,151,125,158,126,172,125,157,114,167,119,177,116,172,120
VILLA DE VALLECAS             ,295,257,255,206,272,229,250,200,238,189,237,191,252,197,272,207
VILLAVERDE                    ,336,262,298,242,288,241,307,244,293,229,288,202,300,233,307,212
