;GSM237280.CEL;GSM237281.CEL;GSM237282.CEL;GSM237283.CEL;GSM237292.CEL;GSM237293.CEL;GSM237294.CEL;GSM237295.CEL;
AFFX-BioB-5_at;6.21748;6.53477;6.48317;6.67481;6.91188;7.48092;7.42394;7.29441;
AFFX-BioB-M_at;6.10352;6.37891;6.47112;6.40125;7.18525;7.67856;7.53605;7.04222;
AFFX-BioB-3_at;5.70937;6.25835;6.05347;6.18272;6.95566;7.07205;7.36175;7.07788;
AFFX-BioC-5_at;6.87564;7.36653;7.17228;7.32045;8.43992;8.79899;8.73358;8.50769;
AFFX-BioC-3_at;6.7563;7.33727;7.03501;7.36086;8.24597;8.67335;8.65819;8.27729;
AFFX-BioDn-5_at;8.44624;9.05534;8.91569;8.97124;9.55873;9.86768;9.88268;9.65187;
AFFX-BioDn-3_at;10.09669;10.33968;10.30298;10.27795;10.32178;10.61746;10.56667;10.40822;
AFFX-CreX-5_at;11.23481;11.39612;11.50182;11.4997;11.52402;11.68535;11.64259;11.41761;
AFFX-CreX-3_at;11.91417;12.13986;12.02815;12.11451;12.14902;12.06717;12.44044;12.1362;
AFFX-DapX-5_at;3.11;3.10894;3.00614;2.96847;3.13335;3.10109;3.11033;3.0624;
AFFX-DapX-M_at;3.11352;3.11192;3.11828;3.14564;3.32546;3.20661;3.3251;3.1383;
AFFX-DapX-3_at;3.11417;3.14403;3.08825;3.10244;3.28396;3.29895;3.16293;3.39087;
AFFX-LysX-5_at;3.09696;3.13103;3.13971;3.07784;3.25797;2.9856;3.09639;3.14604;
AFFX-LysX-M_at;3.34513;3.3236;3.42483;3.37692;3.40055;3.44749;3.4328;3.52812;
AFFX-LysX-3_at;2.95342;2.98237;3.06122;2.9681;3.29311;3.20627;3.36039;3.20935;
AFFX-PheX-5_at;3.24343;3.25677;3.24934;3.24023;3.26113;3.25415;3.24775;3.09472;
AFFX-PheX-M_at;2.94861;3.06239;3.06329;3.09531;3.09153;3.04129;3.13013;3.22001;
AFFX-PheX-3_at;5.18753;5.15832;5.16652;4.91522;5.19259;5.22704;5.25087;5.14965;
AFFX-ThrX-5_at;3.40541;3.4327;3.33651;3.512;3.40841;3.55958;3.51895;3.45421;
AFFX-ThrX-M_at;3.08575;3.11565;3.1598;3.00687;3.07055;3.10503;3.18842;3.15818;
AFFX-ThrX-3_at;3.85502;3.71449;3.80737;3.62581;4.0114;3.81179;3.77621;3.7785;
AFFX-TrpnX-5_at;3.23186;3.29239;3.26647;3.25673;3.34242;3.35785;3.44888;3.33644;
AFFX-TrpnX-M_at;3.10769;3.18833;3.13193;2.98646;3.14747;3.16857;3.24934;2.9879;
AFFX-TrpnX-3_at;3.01767;2.96851;2.94853;2.87857;3.03215;2.99821;3.10581;2.90945;
AFFX-r2-Ec-bioB-5_at;7.10275;7.49326;7.15119;7.55033;8.13314;8.24734;8.21457;8.12943;
AFFX-r2-Ec-bioB-M_at;6.47341;6.96199;6.29157;6.85155;7.32664;7.67496;7.70564;7.60715;
AFFX-r2-Ec-bioB-3_at;6.47008;6.9626;6.89538;6.89841;7.37653;7.61976;7.55535;7.32212;
AFFX-r2-Ec-bioC-5_at;7.35861;7.96687;7.63297;7.85623;8.87531;9.09815;9.13162;8.8354;
AFFX-r2-Ec-bioC-3_at;7.57997;8.17072;7.78244;7.69811;8.90436;9.1296;9.33577;8.97127;
AFFX-r2-Ec-bioD-5_at;10.3882;10.51491;10.50097;10.52066;10.33084;10.61905;10.6239;10.43602;
AFFX-r2-Ec-bioD-3_at;10.78111;11.15158;10.95185;11.11733;10.79229;10.9874;11.06274;10.92847;
AFFX-r2-P1-cre-5_at;12.47725;12.56326;12.65356;12.55434;12.39342;12.54648;12.53511;12.46269;
AFFX-r2-P1-cre-3_at;12.40224;12.42246;12.51917;12.50635;12.34304;12.58784;12.48637;12.40225;
AFFX-r2-Bs-dap-5_at;3.22879;3.20782;3.20294;3.20432;3.25215;3.39912;3.24413;3.57571;
AFFX-r2-Bs-dap-M_at;2.87407;2.81721;2.84852;2.78121;3.04783;2.76582;2.94295;2.87957;
AFFX-r2-Bs-dap-3_at;3.06587;3.07881;3.07925;3.01589;3.35634;3.07682;3.17638;3.19047;
AFFX-r2-Bs-lys-5_at;3.19746;3.03991;3.17296;3.08614;3.33872;3.28611;3.20534;3.28496;
AFFX-r2-Bs-lys-M_at;2.9252;3.05183;3.05265;2.95188;3.22722;2.94474;3.08446;2.91736;
AFFX-r2-Bs-lys-3_at;3.05748;2.93072;3.10029;3.02595;2.99321;3.03919;2.97361;2.92973;
AFFX-r2-Bs-phe-5_at;2.915;2.98855;2.88654;2.83571;2.99702;3.07228;3.05061;3.19509;
AFFX-r2-Bs-phe-M_at;3.23112;3.08247;3.20835;3.16105;3.33376;3.29538;3.25182;3.50411;
AFFX-r2-Bs-phe-3_at;3.27553;3.25832;3.23825;3.17214;3.45235;3.42818;3.51652;3.40281;
AFFX-r2-Bs-thr-3_s_at;3.77094;3.63047;3.86544;3.66041;3.8621;3.67628;3.80653;3.75538;
AFFX-r2-Bs-thr-M_s_at;3.56674;3.59287;3.67742;3.65504;3.57211;3.39294;3.35414;3.57622;
AFFX-r2-Bs-thr-5_s_at;3.57758;3.7907;3.54733;3.47434;3.61963;3.51976;3.70266;3.82311;
AFFX-r2-At-U12639_at;3.76259;3.89547;3.86226;3.74653;3.71296;3.70705;3.99949;3.75251;
AFFX-r2-At-Actin-5_s_at;11.16702;10.45885;11.4452;10.78512;10.33145;9.07015;8.74322;10.04625;
AFFX-r2-At-Actin-M_s_at;11.97681;11.76378;12.14131;11.90559;11.04674;10.68737;10.35167;10.84422;
AFFX-r2-At-Actin-3_s_at;11.70506;11.7494;11.90915;11.88622;12.04626;12.41847;12.45059;12.21109;
AFFX-r2-At-GAPDH-5_s_at;12.83992;12.58559;13.09629;12.78547;11.64728;10.72193;11.26289;11.93232;
AFFX-r2-At-GAPDH-3_s_at;12.89437;12.81017;12.95796;12.953;12.00444;12.11615;12.68378;12.3358;
AFFX-r2-At-Ubq-5_x_at;12.77941;12.55185;12.63273;12.45865;11.63696;11.09269;11.03475;11.19547;
AFFX-r2-At-Ubq-3_x_at;13.21209;13.11904;13.14405;12.99201;12.79392;12.71587;12.73202;12.64427;
AFFX-Athal-25SrRNA_s_at;5.79615;5.25207;5.65622;5.24453;6.30682;6.64752;7.98251;10.89918;
AFFX-Athal-5SrRNA_at;3.76668;6.66925;3.82955;7.21754;5.8779;6.34184;6.71765;6.76098;
AFFX-Athal-Actin_3_f_at;11.00825;10.88686;10.99439;11.14988;11.32207;11.75953;11.76825;11.34848;
AFFX-Athal-Actin_5_r_at;9.00607;8.63157;9.40402;8.82835;7.86336;6.92766;6.82359;7.96377;
AFFX-Athal-Actin_M_at;10.80373;10.49718;10.92707;10.55309;10.34565;10.11025;9.8855;10.1634;
AFFX-Athal-GAPDH_3_s_at;11.44161;11.09651;11.68906;11.22482;11.16233;11.9231;12.03975;11.79624;
AFFX-Athal-GAPDH_5_s_at;11.81428;11.17426;11.90003;11.41461;10.81841;9.00967;9.81334;10.7914;
AFFX-Athal-GAPDH_M_s_at;12.80797;12.69729;12.88749;12.77542;11.54667;10.97333;11.37985;11.73562;
AFFX-Athal-Ubq_3_f_at;13.07985;13.07665;12.90837;12.817;12.71506;12.83364;12.8428;12.68637;
AFFX-Athal-Ubq_5_f_at;11.5095;11.28866;11.56662;11.18552;10.87003;10.59349;10.52827;10.54739;
AFFX-Athal-Ubq_M_f_at;11.17719;10.65939;10.80379;10.36247;10.56663;10.71414;10.34628;10.48382;
267625_at;5.9739;5.89605;5.9274;5.95597;5.92101;5.86447;5.63916;6.05919;
267626_at;7.09291;7.51555;4.80081;4.68779;4.66692;4.2376;4.64518;4.77107;
267627_at;6.21637;6.17175;5.83683;5.99047;6.77194;7.29534;7.30534;7.16242;
267628_at;6.36006;6.42984;6.82494;6.81412;6.98261;6.78529;6.60038;6.82249;
267629_at;6.56185;6.68195;6.86068;6.95363;7.01885;7.36888;7.15942;6.91006;
267630_at;5.35056;5.5694;5.43101;5.49293;8.62301;8.2888;8.28732;8.48112;
267631_at;4.53046;4.4827;4.61533;4.38336;4.50826;4.19512;4.49632;4.36206;
267632_at;5.17941;5.35527;4.90979;5.20374;5.28482;5.83295;5.58641;5.50737;
267633_at;2.94111;3.17207;3.11509;3.10758;2.89008;3.11209;3.18259;3.10573;
267634_at;3.54736;3.44933;3.51523;3.52037;3.57386;3.39893;3.33671;3.51003;
267635_at;5.15393;5.63164;4.7158;4.70132;11.50649;11.4493;11.4042;11.38074;
267636_at;5.68781;5.68581;5.76212;6.02355;4.94718;4.98683;4.42455;4.45925;
267637_at;5.48461;5.73925;5.05556;5.23711;7.88323;7.79586;7.66597;7.57382;
267638_at;11.14841;11.22884;10.98424;11.15564;10.28154;9.5045;9.81947;9.86346;
267639_at;5.3035;5.39103;5.30213;5.1202;6.06951;6.39009;6.32549;6.18102;
267640_at;8.23864;8.16074;8.10782;8.08963;8.5068;8.70269;8.51353;8.50819;
267641_at;4.36782;4.33175;4.49523;4.52122;5.44575;5.30278;4.73194;5.0753;
267642_at;7.88326;8.24291;7.78268;8.05488;8.46655;8.84099;8.99928;8.55875;
267643_at;3.52084;3.53258;3.61711;3.32118;3.54119;3.637;3.66644;3.45653;
267644_s_at;4.2506;4.39724;4.02378;4.15036;8.41552;7.6494;7.57981;8.25442;
267645_at;3.84722;4.03632;3.90498;3.8259;7.43688;7.2268;6.36279;6.25138;
267646_at;4.43689;4.39932;4.65758;4.23424;4.39895;4.31165;4.59909;4.44206;
267593_at;3.16925;3.14772;3.1443;3.16759;3.31911;3.47049;3.44069;3.26796;
267594_at;4.02654;3.87569;4.06084;4.02536;4.21831;4.15294;4.10486;3.97955;
267595_at;7.97682;7.98177;8.29529;8.14986;7.39708;7.24123;5.83928;6.10231;
267596_s_at;6.52226;6.89165;6.69473;7.1718;8.77372;9.44219;9.63627;9.07868;
267597_at;4.69789;4.61714;4.61698;4.68571;4.62779;4.47088;4.62763;4.55785;
267598_at;3.90978;3.8841;4.18925;3.91815;4.01275;4.33236;4.26114;4.36814;
267599_at;8.27561;8.39633;8.34927;8.40594;7.66041;7.6181;7.61565;7.70665;
267600_at;11.80602;11.67436;11.80153;11.72166;11.0843;11.0031;11.16286;11.26721;
267601_at;8.52595;8.69341;8.22453;8.35395;7.91908;7.95056;7.95803;7.87911;
267602_at;7.02574;7.10439;6.58944;6.85071;7.62625;7.37673;7.24889;7.51969;
